City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Pangnirtung,CA,66.1451,-65.7125,-14.8,76,75,0.0,broken clouds
310,Mangai,CD,-4.05,19.5333,74.7,82,92,1.41,light rain
311,Orsha,BY,54.5153,30.4053,35.19,100,100,12.19,overcast clouds
312,Hinesville,US,31.8469,-81.5959,71.78,94,40,4.61,scattered clouds
313,Sioux Lookout,CA,50.1001,-91.917,6.87,85,75,3.44,broken clouds
314,Northam,GB,51.0333,-4.2167,51.39,97,100,22.35,overcast clouds
315,Treinta Y Tres,UY,-33.2333,-54.3833,104.04,11,1,4.47,clear sky
316,Kampong Thum,KH,12.7111,104.8887,67.59,63,96,5.17,overcast clouds
317,Orlik,RU,52.5178,99.825,-23.62,97,40,2.08,scattered clouds
318,Aswan,EG,24.0934,32.907,67.3,32,0,6.91,clear sky
319,Hay River,CA,60.8156,-115.7999,-0.42,85,75,4.61,broken clouds
320,San Joaquin,US,37.9333,-121.3011,58.35,96,100,10.36,light rain
321,Kruisfontein,ZA,-34.0033,24.7314,69.89,85,50,13.6,scattered clouds
322,Pathein,MM,16.7833,94.7333,67.01,74,14,4.09,few clouds
323,Asau,RO,46.4333,26.4,40.28,87,94,6.8,overcast clouds
324,Nouadhibou,MR,20.931,-17.0347,80.58,39,30,6.91,scattered clouds
325,Wewak,PG,-3.5534,143.6268,78.78,90,100,11.16,light rain
326,Trelew,AR,-43.249,-65.3051,94.03,13,18,21.97,few clouds
327,Tual,ID,-5.6667,132.75,83.97,74,100,20.27,overcast clouds
328,Agadir,MA,30.4202,-9.5982,77.45,42,92,8.03,overcast clouds
329,Yar-Sale,RU,66.8333,70.8333,-26.39,100,99,3.83,overcast clouds
330,Port-Cartier,CA,50.0334,-66.8654,40.68,97,100,5.86,overcast clouds
331,Novoleushkovskaya,RU,45.9956,39.9921,39.78,95,34,6.91,scattered clouds
332,Saint Anthony,US,45.0205,-93.218,33.22,91,0,12.66,clear sky
333,Lavrentiya,RU,65.5833,-171.0,-12.14,89,74,11.25,broken clouds
334,Miragoane,HT,18.4423,-73.0876,79.18,67,0,3.11,clear sky
335,Linxia,CN,35.6003,103.2064,26.71,28,100,2.26,overcast clouds
336,Porto Novo,BJ,6.4965,2.6036,85.82,43,99,6.42,overcast clouds
337,Berlevag,NO,70.8578,29.0864,30.2,74,40,26.46,scattered clouds
338,Valle De Allende,MX,26.9333,-105.4,63.43,27,0,5.23,clear sky
339,Mar Del Plata,AR,-38.0023,-57.5575,73.83,67,0,14.97,clear sky
340,Chuy,UY,-33.6971,-53.4616,79.41,49,0,18.07,clear sky
341,Huilong,CN,31.8111,121.655,36.93,56,95,1.77,overcast clouds
342,Kifri,IQ,34.6959,44.9661,53.19,50,6,4.94,clear sky
343,Taman,RU,45.2117,36.7161,48.36,84,8,2.59,clear sky
344,Pouembout,NC,-21.1333,164.9,75.36,91,64,3.04,broken clouds
345,Ketchikan,US,55.3422,-131.6461,35.58,100,100,4.61,light rain
346,Concordia,AR,-31.393,-58.0209,100.47,32,40,4.0,scattered clouds
